w_-3,w_-2,w_-1,w_0,w_1,w_2,w_3,cap_-3,cap_-2,cap_-1,cap_0,cap_1,cap_2,cap_3,label
showing,clear,signs,of,having,the,steam,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
clear,signs,of,having,the,steam,taken,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
signs,of,having,the,steam,taken,out,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
of,having,the,steam,taken,out,of,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
having,the,steam,taken,out,of,them,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
the,steam,taken,out,of,them,",",LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
steam,taken,out,of,them,",",'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,IN
taken,out,of,them,",",'',said,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,PRP
out,of,them,",",'',said,robert,LOWER,LOWER,LOWER,PUNCT,MIXED,LOWER,TITLE,","
of,them,",",'',said,robert,dederick,LOWER,LOWER,PUNCT,MIXED,LOWER,TITLE,TITLE,''
them,",",'',said,robert,dederick,",",LOWER,PUNCT,MIXED,LOWER,TITLE,TITLE,PUNCT,VBD
",",'',said,robert,dederick,",",economist,PUNCT,MIXED,LOWER,TITLE,TITLE,PUNCT,LOWER,NNP
'',said,robert,dederick,",",economist,for,MIXED,LOWER,TITLE,TITLE,PUNCT,LOWER,LOWER,NNP
said,robert,dederick,",",economist,for,northern,LOWER,TITLE,TITLE,PUNCT,LOWER,LOWER,TITLE,","
robert,dederick,",",economist,for,northern,trust,TITLE,TITLE,PUNCT,LOWER,LOWER,TITLE,TITLE,NN
dederick,",",economist,for,northern,trust,co.,TITLE,PUNCT,LOWER,LOWER,TITLE,TITLE,TITLE,IN
",",economist,for,northern,trust,co.,in,PUNCT,LOWER,LOWER,TITLE,TITLE,TITLE,LOWER,NNP
economist,for,northern,trust,co.,in,chicago,LOWER,LOWER,TITLE,TITLE,TITLE,LOWER,TITLE,NNP
for,northern,trust,co.,in,chicago,.,LOWER,TITLE,TITLE,TITLE,LOWER,TITLE,PUNCT,NNP
northern,trust,co.,in,chicago,.,<PAD>,TITLE,TITLE,TITLE,LOWER,TITLE,PUNCT,<PAD>,IN
trust,co.,in,chicago,.,<PAD>,<PAD>,TITLE,TITLE,LOWER,TITLE,PUNCT,<PAD>,<PAD>,NNP
co.,in,chicago,.,<PAD>,<PAD>,<PAD>,TITLE,LOWER,TITLE,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,sens.,john,glenn,-lrb-,<PAD>,<PAD>,<PAD>,TITLE,TITLE,TITLE,UPPER,NNP
<PAD>,<PAD>,sens.,john,glenn,-lrb-,d.,<PAD>,<PAD>,TITLE,TITLE,TITLE,UPPER,UPPER,NNP
<PAD>,sens.,john,glenn,-lrb-,d.,",",<PAD>,TITLE,TITLE,TITLE,UPPER,UPPER,PUNCT,NNP
sens.,john,glenn,-lrb-,d.,",",ohio,TITLE,TITLE,TITLE,UPPER,UPPER,PUNCT,TITLE,(
john,glenn,-lrb-,d.,",",ohio,-rrb-,TITLE,TITLE,UPPER,UPPER,PUNCT,TITLE,UPPER,NNP
glenn,-lrb-,d.,",",ohio,-rrb-,",",TITLE,UPPER,UPPER,PUNCT,TITLE,UPPER,PUNCT,","
-lrb-,d.,",",ohio,-rrb-,",",john,UPPER,UPPER,PUNCT,TITLE,UPPER,PUNCT,TITLE,NNP
d.,",",ohio,-rrb-,",",john,mccain,UPPER,PUNCT,TITLE,UPPER,PUNCT,TITLE,MIXED,)
",",ohio,-rrb-,",",john,mccain,",",PUNCT,TITLE,UPPER,PUNCT,TITLE,MIXED,PUNCT,","
ohio,-rrb-,",",john,mccain,",",-lrb-,TITLE,UPPER,PUNCT,TITLE,MIXED,PUNCT,UPPER,NNP
-rrb-,",",john,mccain,",",-lrb-,r.,UPPER,PUNCT,TITLE,MIXED,PUNCT,UPPER,UPPER,NNP
",",john,mccain,",",-lrb-,r.,",",PUNCT,TITLE,MIXED,PUNCT,UPPER,UPPER,PUNCT,","
john,mccain,",",-lrb-,r.,",",ariz.,TITLE,MIXED,PUNCT,UPPER,UPPER,PUNCT,TITLE,(
mccain,",",-lrb-,r.,",",ariz.,-rrb-,MIXED,PUNCT,UPPER,UPPER,PUNCT,TITLE,UPPER,NNP
",",-lrb-,r.,",",ariz.,-rrb-,and,PUNCT,UPPER,UPPER,PUNCT,TITLE,UPPER,LOWER,","
-lrb-,r.,",",ariz.,-rrb-,and,alan,UPPER,UPPER,PUNCT,TITLE,UPPER,LOWER,TITLE,NNP
r.,",",ariz.,-rrb-,and,alan,cranston,UPPER,PUNCT,TITLE,UPPER,LOWER,TITLE,TITLE,)
",",ariz.,-rrb-,and,alan,cranston,-lrb-,PUNCT,TITLE,UPPER,LOWER,TITLE,TITLE,UPPER,CC
ariz.,-rrb-,and,alan,cranston,-lrb-,d.,TITLE,UPPER,LOWER,TITLE,TITLE,UPPER,UPPER,NNP
-rrb-,and,alan,cranston,-lrb-,d.,",",UPPER,LOWER,TITLE,TITLE,UPPER,UPPER,PUNCT,NNP
and,alan,cranston,-lrb-,d.,",",calif.,LOWER,TITLE,TITLE,UPPER,UPPER,PUNCT,TITLE,(
alan,cranston,-lrb-,d.,",",calif.,-rrb-,TITLE,TITLE,UPPER,UPPER,PUNCT,TITLE,UPPER,NNP
cranston,-lrb-,d.,",",calif.,-rrb-,also,TITLE,UPPER,UPPER,PUNCT,TITLE,UPPER,LOWER,","
-lrb-,d.,",",calif.,-rrb-,also,received,UPPER,UPPER,PUNCT,TITLE,UPPER,LOWER,LOWER,NNP
d.,",",calif.,-rrb-,also,received,substantial,UPPER,PUNCT,TITLE,UPPER,LOWER,LOWER,LOWER,)
",",calif.,-rrb-,also,received,substantial,contributions,PUNCT,TITLE,UPPER,LOWER,LOWER,LOWER,LOWER,RB
calif.,-rrb-,also,received,substantial,contributions,from,TITLE,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
-rrb-,also,received,substantial,contributions,from,mr.,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,JJ
also,received,substantial,contributions,from,mr.,keating,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,NNS
received,substantial,contributions,from,mr.,keating,and,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,IN
substantial,contributions,from,mr.,keating,and,sought,LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,LOWER,NNP
contributions,from,mr.,keating,and,sought,to,LOWER,LOWER,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
from,mr.,keating,and,sought,to,intervene,LOWER,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,CC
mr.,keating,and,sought,to,intervene,on,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
keating,and,sought,to,intervene,on,behalf,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
and,sought,to,intervene,on,behalf,of,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
sought,to,intervene,on,behalf,of,lincoln,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,IN
to,intervene,on,behalf,of,lincoln,.,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,PUNCT,NN
intervene,on,behalf,of,lincoln,.,<PAD>,LOWER,LOWER,LOWER,LOWER,TITLE,PUNCT,<PAD>,IN
on,behalf,of,lincoln,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,TITLE,PUNCT,<PAD>,<PAD>,NNP
behalf,of,lincoln,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,TITLE,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,osborn,also,operates,muzak,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,TITLE,NNP
<PAD>,<PAD>,osborn,also,operates,muzak,franchises,<PAD>,<PAD>,TITLE,LOWER,LOWER,TITLE,LOWER,RB
<PAD>,osborn,also,operates,muzak,franchises,",",<PAD>,TITLE,LOWER,LOWER,TITLE,LOWER,PUNCT,VBZ
osborn,also,operates,muzak,franchises,",",entertainment,TITLE,LOWER,LOWER,TITLE,LOWER,PUNCT,LOWER,NNP
also,operates,muzak,franchises,",",entertainment,properties,LOWER,LOWER,TITLE,LOWER,PUNCT,LOWER,LOWER,NNS
operates,muzak,franchises,",",entertainment,properties,and,LOWER,TITLE,LOWER,PUNCT,LOWER,LOWER,LOWER,","
muzak,franchises,",",entertainment,properties,and,small,TITLE,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,NN
franchises,",",entertainment,properties,and,small,cable-television,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
",",entertainment,properties,and,small,cable-television,systems,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,CC
entertainment,properties,and,small,cable-television,systems,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,JJ
properties,and,small,cable-television,systems,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,NN
and,small,cable-television,systems,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
small,cable-television,systems,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,the,tva,'s,public,<PAD>,<PAD>,<PAD>,TITLE,UPPER,LOWER,LOWER,DT
<PAD>,<PAD>,the,tva,'s,public,debt,<PAD>,<PAD>,TITLE,UPPER,LOWER,LOWER,LOWER,NNP
<PAD>,the,tva,'s,public,debt,offering,<PAD>,TITLE,UPPER,LOWER,LOWER,LOWER,LOWER,POS
the,tva,'s,public,debt,offering,was,TITLE,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
tva,'s,public,debt,offering,was,its,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
's,public,debt,offering,was,its,first,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
public,debt,offering,was,its,first,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
debt,offering,was,its,first,in,15,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,PRP$
offering,was,its,first,in,15,years,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,JJ
was,its,first,in,15,years,.,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,PUNCT,IN
its,first,in,15,years,.,<PAD>,LOWER,LOWER,LOWER,DIGIT,LOWER,PUNCT,<PAD>,CD
first,in,15,years,.,<PAD>,<PAD>,LOWER,LOWER,DIGIT,LOWER,PUNCT,<PAD>,<PAD>,NNS
in,15,years,.,<PAD>,<PAD>,<PAD>,LOWER,DIGIT,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,a,national,guard,job,<PAD>,<PAD>,<PAD>,UPPER,TITLE,TITLE,LOWER,DT
<PAD>,<PAD>,a,national,guard,job,assumed,<PAD>,<PAD>,UPPER,TITLE,TITLE,LOWER,LOWER,NNP
<PAD>,a,national,guard,job,assumed,by,<PAD>,UPPER,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
a,national,guard,job,assumed,by,capt.,UPPER,TITLE,TITLE,LOWER,LOWER,LOWER,TITLE,NN
national,guard,job,assumed,by,capt.,noriega,TITLE,TITLE,LOWER,LOWER,LOWER,TITLE,TITLE,VBN
guard,job,assumed,by,capt.,noriega,in,TITLE,LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,IN
job,assumed,by,capt.,noriega,in,1964,LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,DIGIT,NNP
assumed,by,capt.,noriega,in,1964,--,LOWER,LOWER,TITLE,TITLE,LOWER,DIGIT,MIXED,NNP
by,capt.,noriega,in,1964,--,as,LOWER,TITLE,TITLE,LOWER,DIGIT,MIXED,LOWER,IN
capt.,noriega,in,1964,--,as,chief,TITLE,TITLE,LOWER,DIGIT,MIXED,LOWER,LOWER,CD
noriega,in,1964,--,as,chief,of,TITLE,LOWER,DIGIT,MIXED,LOWER,LOWER,LOWER,:
in,1964,--,as,chief,of,the,LOWER,DIGIT,MIXED,LOWER,LOWER,LOWER,LOWER,IN
1964,--,as,chief,of,the,transit,DIGIT,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,NN
--,as,chief,of,the,transit,police,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
as,chief,of,the,transit,police,in,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
chief,of,the,transit,police,in,david,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,NN
of,the,transit,police,in,david,city,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,NN
the,transit,police,in,david,city,",",LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,PUNCT,IN
transit,police,in,david,city,",",capital,LOWER,LOWER,LOWER,TITLE,TITLE,PUNCT,LOWER,NNP
police,in,david,city,",",capital,of,LOWER,LOWER,TITLE,TITLE,PUNCT,LOWER,LOWER,NNP
in,david,city,",",capital,of,the,LOWER,TITLE,TITLE,PUNCT,LOWER,LOWER,LOWER,","
david,city,",",capital,of,the,chiriqui,TITLE,TITLE,PUNCT,LOWER,LOWER,LOWER,TITLE,NN
city,",",capital,of,the,chiriqui,province,TITLE,PUNCT,LOWER,LOWER,LOWER,TITLE,TITLE,IN
",",capital,of,the,chiriqui,province,--,PUNCT,LOWER,LOWER,LOWER,TITLE,TITLE,MIXED,DT
capital,of,the,chiriqui,province,--,was,LOWER,LOWER,LOWER,TITLE,TITLE,MIXED,LOWER,NNP
of,the,chiriqui,province,--,was,tailor-made,LOWER,LOWER,TITLE,TITLE,MIXED,LOWER,LOWER,NNP
the,chiriqui,province,--,was,tailor-made,for,LOWER,TITLE,TITLE,MIXED,LOWER,LOWER,LOWER,:
chiriqui,province,--,was,tailor-made,for,an,TITLE,TITLE,MIXED,LOWER,LOWER,LOWER,LOWER,VBD
province,--,was,tailor-made,for,an,aspiring,TITLE,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
--,was,tailor-made,for,an,aspiring,super-spy,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
was,tailor-made,for,an,aspiring,super-spy,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,DT
tailor-made,for,an,aspiring,super-spy,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
for,an,aspiring,super-spy,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NN
an,aspiring,super-spy,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,a&w,brands,lost,1\/4,<PAD>,<PAD>,<PAD>,UPPER,TITLE,LOWER,MIXED,NNP
<PAD>,<PAD>,a&w,brands,lost,1\/4,to,<PAD>,<PAD>,UPPER,TITLE,LOWER,MIXED,LOWER,NNP
<PAD>,a&w,brands,lost,1\/4,to,27,<PAD>,UPPER,TITLE,LOWER,MIXED,LOWER,DIGIT,VBD
a&w,brands,lost,1\/4,to,27,.,UPPER,TITLE,LOWER,MIXED,LOWER,DIGIT,PUNCT,CD
brands,lost,1\/4,to,27,.,<PAD>,TITLE,LOWER,MIXED,LOWER,DIGIT,PUNCT,<PAD>,TO
lost,1\/4,to,27,.,<PAD>,<PAD>,LOWER,MIXED,LOWER,DIGIT,PUNCT,<PAD>,<PAD>,CD
1\/4,to,27,.,<PAD>,<PAD>,<PAD>,MIXED,LOWER,DIGIT,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,jaguar,topped,the,most-active,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,NNP
<PAD>,<PAD>,jaguar,topped,the,most-active,list,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,VBD
<PAD>,jaguar,topped,the,most-active,list,for,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,DT
jaguar,topped,the,most-active,list,for,the,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
topped,the,most-active,list,for,the,u.s.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,NN
the,most-active,list,for,the,u.s.,over-the-counter,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,LOWER,IN
most-active,list,for,the,u.s.,over-the-counter,market,LOWER,LOWER,LOWER,LOWER,UPPER,LOWER,LOWER,DT
list,for,the,u.s.,over-the-counter,market,monday,LOWER,LOWER,LOWER,UPPER,LOWER,LOWER,TITLE,NNP
for,the,u.s.,over-the-counter,market,monday,.,LOWER,LOWER,UPPER,LOWER,LOWER,TITLE,PUNCT,JJ
the,u.s.,over-the-counter,market,monday,.,<PAD>,LOWER,UPPER,LOWER,LOWER,TITLE,PUNCT,<PAD>,NN
u.s.,over-the-counter,market,monday,.,<PAD>,<PAD>,UPPER,LOWER,LOWER,TITLE,PUNCT,<PAD>,<PAD>,NNP
over-the-counter,market,monday,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,TITLE,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,there,is,also,worry,<PAD>,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,EX
<PAD>,<PAD>,there,is,also,worry,that,<PAD>,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,VBZ
<PAD>,there,is,also,worry,that,the,<PAD>,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,RB
there,is,also,worry,that,the,pepper,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,VB
is,also,worry,that,the,pepper,commission,LOWER,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,IN
also,worry,that,the,pepper,commission,studying,LOWER,LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,DT
worry,that,the,pepper,commission,studying,long-term,LOWER,LOWER,LOWER,TITLE,TITLE,LOWER,LOWER,NNP
that,the,pepper,commission,studying,long-term,health,LOWER,LOWER,TITLE,TITLE,LOWER,LOWER,LOWER,NNP
the,pepper,commission,studying,long-term,health,care,LOWER,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,VBG
pepper,commission,studying,long-term,health,care,will,TITLE,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
commission,studying,long-term,health,care,will,again,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
studying,long-term,health,care,will,again,push,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
long-term,health,care,will,again,push,lawmakers,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MD
health,care,will,again,push,lawmakers,toward,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,RB
care,will,again,push,lawmakers,toward,employerpaid,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
will,again,push,lawmakers,toward,employerpaid,solutions,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NNS
again,push,lawmakers,toward,employerpaid,solutions,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
push,lawmakers,toward,employerpaid,solutions,.,<PAD>,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,JJ
lawmakers,toward,employerpaid,solutions,.,<PAD>,<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,NNS
toward,employerpaid,solutions,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,from,about,"200,000",six,<PAD>,<PAD>,<PAD>,TITLE,LOWER,MIXED,LOWER,IN
<PAD>,<PAD>,from,about,"200,000",six,years,<PAD>,<PAD>,TITLE,LOWER,MIXED,LOWER,LOWER,IN
<PAD>,from,about,"200,000",six,years,ago,<PAD>,TITLE,LOWER,MIXED,LOWER,LOWER,LOWER,CD
from,about,"200,000",six,years,ago,",",TITLE,LOWER,MIXED,LOWER,LOWER,LOWER,PUNCT,CD
about,"200,000",six,years,ago,",",the,LOWER,MIXED,LOWER,LOWER,LOWER,PUNCT,LOWER,NNS
"200,000",six,years,ago,",",the,number,MIXED,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,RB
six,years,ago,",",the,number,of,LOWER,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,","
years,ago,",",the,number,of,mountain,LOWER,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,DT
ago,",",the,number,of,mountain,bikes,LOWER,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,NN
",",the,number,of,mountain,bikes,in,PUNCT,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
the,number,of,mountain,bikes,in,the,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
number,of,mountain,bikes,in,the,u.s.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,NNS
of,mountain,bikes,in,the,u.s.,is,LOWER,LOWER,LOWER,LOWER,LOWER,UPPER,LOWER,IN
mountain,bikes,in,the,u.s.,is,expected,LOWER,LOWER,LOWER,LOWER,UPPER,LOWER,LOWER,DT
bikes,in,the,u.s.,is,expected,to,LOWER,LOWER,LOWER,UPPER,LOWER,LOWER,LOWER,NNP
in,the,u.s.,is,expected,to,grow,LOWER,LOWER,UPPER,LOWER,LOWER,LOWER,LOWER,VBZ
the,u.s.,is,expected,to,grow,to,LOWER,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,VBN
u.s.,is,expected,to,grow,to,10,UPPER,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,TO
is,expected,to,grow,to,10,million,LOWER,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,VB
expected,to,grow,to,10,million,in,LOWER,LOWER,LOWER,LOWER,DIGIT,LOWER,LOWER,TO
to,grow,to,10,million,in,1990,LOWER,LOWER,LOWER,DIGIT,LOWER,LOWER,DIGIT,CD
grow,to,10,million,in,1990,.,LOWER,LOWER,DIGIT,LOWER,LOWER,DIGIT,PUNCT,CD
to,10,million,in,1990,.,<PAD>,LOWER,DIGIT,LOWER,LOWER,DIGIT,PUNCT,<PAD>,IN
10,million,in,1990,.,<PAD>,<PAD>,DIGIT,LOWER,LOWER,DIGIT,PUNCT,<PAD>,<PAD>,CD
million,in,1990,.,<PAD>,<PAD>,<PAD>,LOWER,LOWER,DIGIT,PUNCT,<PAD>,<PAD>,<PAD>,.
<PAD>,<PAD>,<PAD>,yet,",",late,last,<PAD>,<PAD>,<PAD>,TITLE,PUNCT,LOWER,LOWER,RB
<PAD>,<PAD>,yet,",",late,last,year,<PAD>,<PAD>,TITLE,PUNCT,LOWER,LOWER,LOWER,","
<PAD>,yet,",",late,last,year,",",<PAD>,TITLE,PUNCT,LOWER,LOWER,LOWER,PUNCT,JJ
yet,",",late,last,year,",",congress,TITLE,PUNCT,LOWER,LOWER,LOWER,PUNCT,TITLE,JJ
",",late,last,year,",",congress,effectively,PUNCT,LOWER,LOWER,LOWER,PUNCT,TITLE,LOWER,NN
late,last,year,",",congress,effectively,reversed,LOWER,LOWER,LOWER,PUNCT,TITLE,LOWER,LOWER,","
last,year,",",congress,effectively,reversed,this,LOWER,LOWER,PUNCT,TITLE,LOWER,LOWER,LOWER,NNP
year,",",congress,effectively,reversed,this,decision,LOWER,PUNCT,TITLE,LOWER,LOWER,LOWER,LOWER,RB
",",congress,effectively,reversed,this,decision,by,PUNCT,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
congress,effectively,reversed,this,decision,by,enacting,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
effectively,reversed,this,decision,by,enacting,a,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
reversed,this,decision,by,enacting,a,one-sentence,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,IN
this,decision,by,enacting,a,one-sentence,statute,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBG
decision,by,enacting,a,one-sentence,statute,that,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
by,enacting,a,one-sentence,statute,that,defined,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
enacting,a,one-sentence,statute,that,defined,fraud,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
a,one-sentence,statute,that,defined,fraud,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,WDT
one-sentence,statute,that,defined,fraud,to,include,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VBD
statute,that,defined,fraud,to,include,any,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
that,defined,fraud,to,include,any,scheme,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
defined,fraud,to,include,any,scheme,to,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,VB
fraud,to,include,any,scheme,to,deprive,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,DT
to,include,any,scheme,to,deprive,another,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
include,any,scheme,to,deprive,another,of,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,TO
any,scheme,to,deprive,another,of,``,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,MIXED,VB
scheme,to,deprive,another,of,``,the,LOWER,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,DT
to,deprive,another,of,``,the,intangible,LOWER,LOWER,LOWER,LOWER,MIXED,LOWER,LOWER,IN
deprive,another,of,``,the,intangible,right,LOWER,LOWER,LOWER,MIXED,LOWER,LOWER,LOWER,``
another,of,``,the,intangible,right,of,LOWER,LOWER,MIXED,LOWER,LOWER,LOWER,LOWER,DT
of,``,the,intangible,right,of,honest,LOWER,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,JJ
``,the,intangible,right,of,honest,services,MIXED,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,NN
the,intangible,right,of,honest,services,.,LOWER,LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,IN
intangible,right,of,honest,services,.,'',LOWER,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,JJ
right,of,honest,services,.,'',<PAD>,LOWER,LOWER,LOWER,LOWER,PUNCT,MIXED,<PAD>,NNS
of,honest,services,.,'',<PAD>,<PAD>,LOWER,LOWER,LOWER,PUNCT,MIXED,<PAD>,<PAD>,.
honest,services,.,'',<PAD>,<PAD>,<PAD>,LOWER,LOWER,PUNCT,MIXED,<PAD>,<PAD>,<PAD>,''
<PAD>,<PAD>,<PAD>,``,then,there,'ll,<PAD>,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,``
<PAD>,<PAD>,``,then,there,'ll,be,<PAD>,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,RB
<PAD>,``,then,there,'ll,be,fair,<PAD>,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,EX
``,then,there,'ll,be,fair,competition,MIXED,TITLE,LOWER,LOWER,LOWER,LOWER,LOWER,MD
